,Date,User,Tweet
52,2022-08-10 06:55:10+00:00,BangGodham,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
53,2022-08-10 06:54:01+00:00,frenkyf1,"Mari kita dukung perjuangan @MprAldo dkk ,hilangkan diskriminasi .

Pers Release: Gugatan melawan Presiden, Ketua Satgas Covid-19, Mendagri dan Menhub Tentang Diskriminasi Berdasarkan Status Vaksinasi via @https://twitter.com/investigasiorg https://t.co/ROuQDJ26BK"
54,2022-08-10 06:53:26+00:00,MardiyantoYuni,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
55,2022-08-10 06:51:48+00:00,YanniAffan,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
56,2022-08-10 06:49:16+00:00,zainularifin__,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
57,2022-08-10 06:49:10+00:00,Human_B,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
58,2022-08-10 06:48:44+00:00,awbtuban,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
59,2022-08-10 06:48:19+00:00,R0manist1,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
60,2022-08-10 06:48:06+00:00,Ibra85866419,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
61,2022-08-10 06:47:44+00:00,Mrakbar9611,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
62,2022-08-10 06:47:18+00:00,tulusberjuang,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
63,2022-08-10 06:45:11+00:00,GratisTerbaik,"Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @BnbLenny 
https://t.co/xFbrKxYajd https://t.co/stmbntbhO4"
64,2022-08-10 06:37:26+00:00,ocin71,"RT @GratisTerbaik: Pers Release: Gugatan melawan Presiden, Ketua Satgas Covid-19, Mendagri dan Menhub Tentang Diskriminasi Berdasarkan Stat…"
